Department,Districts,Monthregister,Fund,Rangeincome,Register
SMA-IPA,KABUPATEN KAPUAS HULU,September,ORANG TUA,< 500.000,N
SMEA,KABUPATEN SEKADAU,September,ORANG TUA,1.000.001 - 1.500.000,N
MA IPS,KABUPATEN MELAWI,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,1.000.001 - 1.500.000,Y
MA AGAMA,KOTA SINGKAWANG,September,ORANG TUA,500.001 - 1.000.000,Y
MA IPS,KABUPATEN KUBU RAYA,September,BEKERJA SENDIRI,< 500.000,N
SMK INFORMATIKA,KOTA PONTIANAK,September,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SAMBAS,September,ORANG TUA,1.000.001 - 1.500.000,N
SPK KEPERAWATAN,KOTA PONTIANAK,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,September,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN LANDAK,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,September,ORANG TUA,< 500.000,N
SMK INFORMATIKA,KOTA PONTIANAK,September,ORANG TUA,< 500.000,N
STM-MESIN,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA SINGKAWANG,September,ORANG TUA,1.500.001 - 2.000.000,N
SMK AKUNTANSI,KABUPATEN KETAPANG,September,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KETAPANG,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN BENGKAYANG,September,BEASISWA,500.001 - 1.000.000,Y
SMA-IPS,KOTA SINGKAWANG,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KOTA SINGKAWANG,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMK BISNIS MANAJEMEN,KABUPATEN SINTANG,September,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SAMBAS,September,ORANG TUA,500.001 - 1.000.000,Y
SMK INFORMATIKA,KABUPATEN KETAPANG,September,ORANG TUA,> 5.000.000,N
SMK Perkantoran,KABUPATEN SINTANG,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMK-MEKANIK,KABUPATEN KAPUAS HULU,September,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN SEKADAU,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN MELAWI,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,September,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN SAMBAS,September,BEASISWA,< 500.000,Y
SMA-IPS,KABUPATEN SAMBAS,September,BEASISWA,< 500.000,Y
SMA-IPA,KABUPATEN SAMBAS,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,September,BEASISWA,< 500.000,Y
SMA-IPA,KABUPATEN SAMBAS,September,ORANG TUA,1.000.001 - 1.500.000,Y
MA IPA,KABUPATEN SANGGAU,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SINTANG,September,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,September,BEASISWA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN BENGKAYANG,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN LANDAK,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMK PERTANIAN,KABUPATEN KAYONG UTARA,September,BEASISWA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,September,BEASISWA,< 500.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN SAMBAS,September,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,September,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KETAPANG,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMK INFORMATIKA,KABUPATEN SINTANG,September,ORANG TUA,1.500.001 - 2.000.000,Y
SMK TEKNIK INDUSTRI,KOTA PONTIANAK,September,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SANGGAU,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,> 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KETAPANG,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMA AGAMA,KOTA PONTIANAK,September,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN MEMPAWAH,September,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SINTANG,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,September,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,September,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KETAPANG,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,> 5.000.000,Y
STM-KIMIA,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN MEMPAWAH,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SINTANG,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN BENGKAYANG,September,ORANG TUA,500.001 - 1.000.000,Y
MA IPA,KABUPATEN SAMBAS,September,ORANG TUA,< 500.000,N
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMK INFORMATIKA,KABUPATEN SINTANG,September,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,September,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,< 500.000,Y
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SANGGAU,September,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,September,ORANG TUA,2.000.001 - 3.000.000,N
MA IPA,KABUPATEN SINTANG,September,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN BENGKAYANG,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,3.000.001 - 5.000.000,N
STM-PERIKANAN,KABUPATEN KUBU RAYA,September,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,September,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN LANDAK,September,ORANG TUA,2.000.001 - 3.000.000,N
SMK INFORMATIKA,KABUPATEN SINTANG,September,ORANG TUA,500.001 - 1.000.000,N
SMK INFORMATIKA,KABUPATEN SINTANG,September,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,September,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KETAPANG,September,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,September,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,< 500.000,N
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA PONTIANAK,September,ORANG TUA,> 5.000.000,N
SMA-IPS,KOTA SINGKAWANG,September,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SINTANG,October,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,October,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,October,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,October,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,October,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SINTANG,October,ORANG TUA,< 500.000,N
SMA-IPA,KOTA PONTIANAK,October,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,October,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,October,ORANG TUA,3.000.001 - 5.000.000,Y
SMK INFORMATIKA,KOTA PONTIANAK,October,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,October,ORANG TUA,1.500.001 - 2.000.000,Y
STM-PERIKANAN,KABUPATEN KAYONG UTARA,October,ORANG TUA,1.500.001 - 2.000.000,Y
